dico,indicator,name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
1805,dormidas,Lamego,64401,81874,66688,57236,75091,57272,59853,54571,54596,50216,40451,41234
1806,dormidas,Mangualde,36315,30008,29992,29820,28673,24596,34020,35829,37340,40407,33578,38488
1807,dormidas,Moimenta da Beira,3771,3823,4116,,6215,,,,,,,
1808,dormidas,Mortágua,68782,61737,61397,55290,57415,54364,55426,27315,10937,8358,,
1809,dormidas,Nelas,54385,50045,47622,43300,40633,49988,58422,54899,,62334,61813,71799
1810,dormidas,Oliveira de Frades,3284,3980,3462,4541,5709,,,,,,,
1811,dormidas,Penalva do Castelo,,,,,,,,,,,,
1812,dormidas,Penedono,,,,,,,,,,,,
1813,dormidas,Resende,12109,8682,6745,,7431,,,,,9264,,14445
1814,dormidas,Santa Comba Dão,1965,,,12,,,,,,,,
1815,dormidas,São João da Pesqueira,,,,,,,,,,,,
1816,dormidas,São Pedro do Sul,126831,131657,129453,132702,120010,123475,135448,117899,124496,112568,145161,134255
1817,dormidas,Sátão,,,1313,,,,,,,,,
1818,dormidas,Sernancelhe,,,,,,,,,,,,
1819,dormidas,Tabuaço,12667,13242,9100,,11458,404,,,,,,
1820,dormidas,Tarouca,2293,2044,,,,,,,,,,
1821,dormidas,Tondela,32241,33206,24825,29817,33353,34319,32808,42443,33917,49790,45575,44286
1822,dormidas,Vila Nova de Paiva,,,3408,,,,,,,,,
1823,dormidas,Viseu,191361,160911,143058,133636,121767,133005,166239,170862,161116,181885,180154,181592
1824,dormidas,Vouzela,2053,,,,,,,,,443,,
3101,dormidas,Calheta [R.A.M.],420776,389431,295986,224530,243486,202450,196046,173069,182384,178078,161824,153736
3102,dormidas,Câmara de Lobos,122552,122056,102923,86123,87840,74891,82881,86494,101314,144477,55411,52187
3103,dormidas,Funchal,5450855,5184803,4741918,4440416,4248548,3798355,3819412,3361613,3688713,4167206,4081038,3937439
3104,dormidas,Machico,245672,229399,172322,156078,156945,130906,130808,117631,121701,139678,138407,116609
3105,dormidas,Ponta do Sol,98062,89258,82370,76755,81756,74486,64958,76627,72782,63114,57591,58312
3106,dormidas,Porto Moniz,63882,60765,55787,50830,41223,32084,31153,28237,30314,34145,28921,27344
3107,dormidas,Ribeira Brava,61013,69756,55860,48053,48298,41971,45612,36672,42627,47883,45137,40898
3108,dormidas,Santa Cruz,1062413,1021424,913157,867043,850949,770617,791945,792100,889990,1006243,1031301,978025
3109,dormidas,Santana,54853,62768,47348,45357,52107,35845,29657,19752,35960,41894,44695,40058
3110,dormidas,São Vicente,133895,121710,102353,101923,113167,98769,96716,84120,90715,113438,92406,90406
3201,dormidas,Porto Santo,514471,483796,381471,341754,290630,247311,276098,217210,240426,271988,253284,234084
4101,dormidas,Vila do Porto,27301,25601,22466,22948,21357,21098,23122,23933,22164,23645,24657,21233
4201,dormidas,Lagoa [R.A.A.],75294,45541,40817,36357,33723,37797,32272,57643,57756,57150,54440,57396
4202,dormidas,Nordeste,,,,,3300,,,,,,,
4203,dormidas,Ponta Delgada,1000245,871777,750476,613993,626146,537767,606803,593336,566093,652631,705287,704693
4204,dormidas,Povoação,94061,83140,70244,48972,34225,25228,29767,28497,29465,35103,33409,37472
4205,dormidas,Ribeira Grande,27156,14301,11879,,4540,,,,,,,
4206,dormidas,Vila Franca do Campo,49921,34021,33571,,40737,,,,,,,
4301,dormidas,Angra do Heroísmo,229948,211675,117957,107764,112936,98508,98695,100029,110318,127696,125892,109086
4302,dormidas,Vila da Praia da Vitória,57733,45883,39653,37222,39775,36880,41980,31478,31245,26094,30405,28023
4401,dormidas,Santa Cruz da Graciosa,14795,14137,11394,11688,11700,14072,16449,16043,9512,8953,8012,9298
4501,dormidas,Calheta [R.A.A.],,,,,,,,,,,,
4502,dormidas,Velas,23404,20702,,,,,,,,,,
4601,dormidas,Lajes do Pico,12004,12640,12597,,12745,,,,,,,9801
4602,dormidas,Madalena,45303,40393,34097,29068,33762,,,,,,,
4603,dormidas,São Roque do Pico,920,170,,,5502,,,,,,,
4701,dormidas,Horta,104938,103814,90851,78500,87799,73615,75845,81032,79862,91406,91627,90468
4801,dormidas,Lajes das Flores,,,,,,,,,,,,
4802,dormidas,Santa Cruz das Flores,20472,15900,,13408,13136,13666,15800,14229,,,8259,10547
4901,dormidas,Corvo,,,,,,,,,,,,
